table	shape	rows	data_length	est_bytes	topic_bytes	admit_s	src_done_s	sink_done_s	est_MiB_s	data_MiB_s	rows_s
b_lob_1	lob	1000	1605910528	2420970000	1573109760	0.8	10.9	33.5	70.61	46.84	31
b_narrow_1	narrow	8000000	635437056	972000000	315396096	39.1	72.4	131.3	10.05	6.57	86768
b_narrow_2	narrow	8000000	635437056	953155584	315359232	68.6	96.0	148.5	11.38	7.58	100125
b_narrow_3	narrow	8000000	635437056	972000000	315404288	39.0	72.4	136.9	9.47	6.19	81716
b_narrow_4	narrow	8000000	635437056	972000000	315494400	0.9	40.3	116.9	7.99	5.22	68966
b_wide_1	wide	600000	1642070016	2954700000	774455296	0.7	31.4	53.8	53.07	29.49	11299
b_wide_2	wide	600000	1642070016	2954700000	774475776	0.6	31.4	57.9	49.18	27.33	10471
b_wide_3	wide	600000	1642070016	2954700000	774459392	0.0	31.4	63.7	44.24	24.58	9419
