t	component	rss_MiB
2.1	connect	2804
2.1	kafka	739
2.1	schema-registry	158
2.1	mysql	327
2.1	postgres	371
13.8	connect	2689
13.8	kafka	971
13.8	schema-registry	151
13.8	mysql	313
13.8	postgres	915
25.5	connect	2159
25.5	kafka	1030
25.5	schema-registry	126
25.5	mysql	301
25.5	postgres	933
33.5	connect	2413
33.5	kafka	1026
33.5	schema-registry	126
33.5	mysql	280
33.5	postgres	961
40.3	connect	2640
40.3	kafka	816
40.3	schema-registry	128
40.3	mysql	316
40.3	postgres	1065
53.8	connect	2601
53.8	kafka	904
53.8	schema-registry	124
53.8	mysql	348
53.8	postgres	1137
57.9	connect	2604
57.9	kafka	909
57.9	schema-registry	124
57.9	mysql	349
57.9	postgres	993
63.7	connect	2608
63.7	kafka	910
63.7	schema-registry	125
63.7	mysql	350
63.7	postgres	849
51.8	connect	2609
51.8	kafka	913
51.8	schema-registry	126
51.8	mysql	368
51.8	postgres	703
72.4	connect	2614
72.4	kafka	912
72.4	schema-registry	128
72.4	mysql	349
72.4	postgres	901
84.2	connect	2615
84.2	kafka	914
84.2	schema-registry	135
84.2	mysql	349
84.2	postgres	862
96.0	connect	2597
96.0	kafka	914
96.0	schema-registry	133
96.0	mysql	293
96.0	postgres	862
108.7	connect	2598
108.7	kafka	961
108.7	schema-registry	134
108.7	mysql	295
108.7	postgres	880
116.9	connect	2598
116.9	kafka	853
116.9	schema-registry	135
116.9	mysql	296
116.9	postgres	886
124.3	connect	2600
124.3	kafka	856
124.3	schema-registry	136
124.3	mysql	296
124.3	postgres	740
131.3	connect	2600
131.3	kafka	856
131.3	schema-registry	136
131.3	mysql	297
131.3	postgres	791
136.9	connect	2600
136.9	kafka	856
136.9	schema-registry	137
136.9	mysql	297
136.9	postgres	646
142.4	connect	2600
142.4	kafka	856
142.4	schema-registry	137
142.4	mysql	298
142.4	postgres	500
148.5	connect	2600
148.5	kafka	856
148.5	schema-registry	138
148.5	mysql	298
148.5	postgres	500
