table	admit_s	done_s	R_MiB
b_lob_1	0.8	33.5	511.0
b_narrow_1	39.1	131.3	416.4
b_narrow_2	68.6	148.5	416.4
b_narrow_3	39.0	136.9	416.4
b_narrow_4	0.9	116.9	416.4
b_wide_1	0.7	53.8	433.0
b_wide_2	0.6	57.9	433.0
b_wide_3	0.0	63.7	433.0
