t	event	current_bytes	high_bytes
1.4	memory/temptable/physical_disk	0	0
1.4	memory/temptable/physical_ram	1048608	17825984
1.4	session_temp_tablespace:223	18874368	18874368
1.4	session_temp_tablespace:226	81920	81920
12.5	memory/temptable/physical_disk	0	0
12.5	memory/temptable/physical_ram	1048608	17825984
12.5	session_temp_tablespace:223	18874368	18874368
12.5	session_temp_tablespace:228	81920	81920
23.4	memory/temptable/physical_disk	0	0
23.4	memory/temptable/physical_ram	1048608	17825984
23.4	session_temp_tablespace:223	18874368	18874368
23.4	session_temp_tablespace:230	81920	81920
34.9	memory/temptable/physical_disk	0	0
34.9	memory/temptable/physical_ram	1048608	17825984
34.9	session_temp_tablespace:223	18874368	18874368
34.9	session_temp_tablespace:232	81920	81920
45.8	memory/temptable/physical_disk	0	0
45.8	memory/temptable/physical_ram	1048608	17825984
45.8	session_temp_tablespace:223	18874368	18874368
45.8	session_temp_tablespace:234	81920	81920
57.0	memory/temptable/physical_disk	0	0
57.0	memory/temptable/physical_ram	1048608	17825984
57.0	session_temp_tablespace:223	18874368	18874368
57.0	session_temp_tablespace:236	81920	81920
