t	component	rss_MiB
2.5	connect	2869
2.5	kafka	900
2.5	schema-registry	166
2.5	mysql	338
2.5	postgres	348
14.1	connect	1941
14.1	kafka	1035
14.1	schema-registry	133
14.1	mysql	305
14.1	postgres	954
25.5	connect	1878
25.5	kafka	1139
25.5	schema-registry	134
25.5	mysql	293
25.5	postgres	992
33.0	connect	2376
33.0	kafka	917
33.0	schema-registry	117
33.0	mysql	257
33.0	postgres	1006
53.0	connect	2402
53.0	kafka	889
53.0	schema-registry	114
53.0	mysql	299
53.0	postgres	1025
59.2	connect	2385
59.2	kafka	904
59.2	schema-registry	111
59.2	mysql	299
59.2	postgres	1032
63.3	connect	2402
63.3	kafka	897
63.3	schema-registry	107
63.3	mysql	303
63.3	postgres	889
50.3	connect	2405
50.3	kafka	902
50.3	schema-registry	108
50.3	mysql	313
50.3	postgres	744
71.1	connect	2407
71.1	kafka	902
71.1	schema-registry	111
71.1	mysql	321
71.1	postgres	849
83.6	connect	2410
83.6	kafka	904
83.6	schema-registry	112
83.6	mysql	305
83.6	postgres	894
95.5	connect	2410
95.5	kafka	903
95.5	schema-registry	113
95.5	mysql	306
95.5	postgres	918
109.7	connect	2411
109.7	kafka	904
109.7	schema-registry	116
109.7	mysql	306
109.7	postgres	968
123.2	connect	2411
123.2	kafka	905
123.2	schema-registry	118
123.2	mysql	307
123.2	postgres	969
139.5	connect	2377
139.5	kafka	903
139.5	schema-registry	119
139.5	mysql	292
139.5	postgres	1024
133.6	connect	2403
133.6	kafka	904
133.6	schema-registry	119
133.6	mysql	268
133.6	postgres	839
152.9	connect	2404
152.9	kafka	1041
152.9	schema-registry	120
152.9	mysql	260
152.9	postgres	841
164.6	connect	2404
164.6	kafka	904
164.6	schema-registry	122
164.6	mysql	260
164.6	postgres	842
176.3	connect	2405
176.3	kafka	906
176.3	schema-registry	123
176.3	mysql	260
176.3	postgres	842
186.7	connect	2405
186.7	kafka	906
186.7	schema-registry	123
186.7	mysql	261
186.7	postgres	696
195.2	connect	2405
195.2	kafka	906
195.2	schema-registry	124
195.2	mysql	262
195.2	postgres	606
201.5	connect	2405
201.5	kafka	1044
201.5	schema-registry	124
201.5	mysql	262
201.5	postgres	620
