t	table	topic_end	pg_inserted
1.4	b_narrow_1	393216	0
6.0	b_narrow_1	1835008	331961
8.1	b_narrow_1	2519397	558343
10.3	b_narrow_1	3242519	913661
12.5	b_narrow_1	3932160	1186148
17.1	b_narrow_1	5469823	1727301
19.2	b_narrow_1	6160384	1989128
21.3	b_narrow_1	6833626	2254045
23.4	b_narrow_1	7552640	2640213
28.1	b_narrow_1	8000000	3175651
30.3	b_narrow_1	8000000	3583622
32.6	b_narrow_1	8000000	3832612
34.9	b_narrow_1	8000000	4095621
39.1	b_narrow_1	8000000	4665815
41.4	b_narrow_1	8000000	4938174
43.6	b_narrow_1	8000000	5355548
45.8	b_narrow_1	8000000	5641931
50.1	b_narrow_1	8000000	6216219
52.3	b_narrow_1	8000000	6625790
54.7	b_narrow_1	8000000	6876466
57.0	b_narrow_1	8000000	7164078
61.1	b_narrow_1	8000000	7735919
63.4	b_narrow_1	8000000	7878273
