t	event	current_bytes	high_bytes
2.5	memory/temptable/physical_disk	0	0
2.5	memory/temptable/physical_ram	5243040	85459888
2.5	session_temp_tablespace:314	54525952	54525952
2.5	session_temp_tablespace:319	54525952	54525952
2.5	session_temp_tablespace:324	54525952	54525952
2.5	session_temp_tablespace:334	18874368	18874368
2.5	session_temp_tablespace:329	54525952	54525952
2.5	session_temp_tablespace:337	81920	81920
14.1	memory/temptable/physical_disk	0	0
14.1	memory/temptable/physical_ram	5243040	85459888
14.1	session_temp_tablespace:314	54525952	54525952
14.1	session_temp_tablespace:319	54525952	54525952
14.1	session_temp_tablespace:324	54525952	54525952
14.1	session_temp_tablespace:334	18874368	18874368
14.1	session_temp_tablespace:329	54525952	54525952
14.1	session_temp_tablespace:339	81920	81920
25.5	memory/temptable/physical_disk	0	0
25.5	memory/temptable/physical_ram	5243040	85459888
25.5	session_temp_tablespace:314	54525952	54525952
25.5	session_temp_tablespace:319	54525952	54525952
25.5	session_temp_tablespace:324	54525952	54525952
25.5	session_temp_tablespace:334	18874368	18874368
25.5	session_temp_tablespace:329	54525952	54525952
25.5	session_temp_tablespace:341	81920	81920
33.0	memory/temptable/physical_disk	0	0
33.0	memory/temptable/physical_ram	5243040	85459888
33.0	session_temp_tablespace:314	54525952	54525952
33.0	session_temp_tablespace:319	54525952	54525952
33.0	session_temp_tablespace:324	54525952	54525952
33.0	session_temp_tablespace:334	18874368	18874368
33.0	session_temp_tablespace:329	54525952	54525952
33.0	session_temp_tablespace:343	81920	81920
53.0	memory/temptable/physical_disk	0	0
53.0	memory/temptable/physical_ram	6291648	101712864
53.0	session_temp_tablespace:314	54525952	54525952
53.0	session_temp_tablespace:319	54525952	54525952
53.0	session_temp_tablespace:324	54525952	54525952
53.0	session_temp_tablespace:334	18874368	18874368
53.0	session_temp_tablespace:348	18874368	18874368
53.0	session_temp_tablespace:353	18874368	18874368
53.0	session_temp_tablespace:356	81920	81920
59.2	memory/temptable/physical_disk	0	0
59.2	memory/temptable/physical_ram	5243040	101712864
59.2	session_temp_tablespace:314	54525952	54525952
59.2	session_temp_tablespace:319	54525952	54525952
59.2	session_temp_tablespace:334	18874368	18874368
59.2	session_temp_tablespace:348	18874368	18874368
59.2	session_temp_tablespace:353	18874368	18874368
59.2	session_temp_tablespace:357	81920	81920
63.3	memory/temptable/physical_disk	0	0
63.3	memory/temptable/physical_ram	19923200	101712864
63.3	session_temp_tablespace:314	54525952	54525952
63.3	session_temp_tablespace:334	18874368	18874368
63.3	session_temp_tablespace:348	18874368	18874368
63.3	session_temp_tablespace:353	18874368	18874368
63.3	session_temp_tablespace:359	81920	81920
50.3	memory/temptable/physical_disk	0	0
50.3	memory/temptable/physical_ram	4194432	101712864
50.3	session_temp_tablespace:334	18874368	18874368
50.3	session_temp_tablespace:348	18874368	18874368
50.3	session_temp_tablespace:353	18874368	18874368
50.3	session_temp_tablespace:363	18874368	18874368
50.3	session_temp_tablespace:365	81920	81920
71.1	memory/temptable/physical_disk	0	0
71.1	memory/temptable/physical_ram	4194432	101712864
71.1	session_temp_tablespace:334	18874368	18874368
71.1	session_temp_tablespace:348	18874368	18874368
71.1	session_temp_tablespace:353	18874368	18874368
71.1	session_temp_tablespace:363	18874368	18874368
71.1	session_temp_tablespace:367	81920	81920
83.6	memory/temptable/physical_disk	0	0
83.6	memory/temptable/physical_ram	4194432	101712864
83.6	session_temp_tablespace:334	18874368	18874368
83.6	session_temp_tablespace:348	18874368	18874368
83.6	session_temp_tablespace:353	18874368	18874368
83.6	session_temp_tablespace:363	18874368	18874368
83.6	session_temp_tablespace:369	81920	81920
95.5	memory/temptable/physical_disk	0	0
95.5	memory/temptable/physical_ram	4194432	101712864
95.5	session_temp_tablespace:334	18874368	18874368
95.5	session_temp_tablespace:348	18874368	18874368
95.5	session_temp_tablespace:353	18874368	18874368
95.5	session_temp_tablespace:363	18874368	18874368
95.5	session_temp_tablespace:371	81920	81920
109.7	memory/temptable/physical_disk	0	0
109.7	memory/temptable/physical_ram	4194432	101712864
109.7	session_temp_tablespace:334	18874368	18874368
109.7	session_temp_tablespace:348	18874368	18874368
109.7	session_temp_tablespace:353	18874368	18874368
109.7	session_temp_tablespace:363	18874368	18874368
109.7	session_temp_tablespace:373	81920	81920
123.2	memory/temptable/physical_disk	0	0
123.2	memory/temptable/physical_ram	4194432	101712864
123.2	session_temp_tablespace:334	18874368	18874368
123.2	session_temp_tablespace:348	18874368	18874368
123.2	session_temp_tablespace:353	18874368	18874368
123.2	session_temp_tablespace:363	18874368	18874368
123.2	session_temp_tablespace:376	81920	81920
139.5	memory/temptable/physical_disk	0	0
139.5	memory/temptable/physical_ram	4194432	101712864
139.5	session_temp_tablespace:334	18874368	18874368
139.5	session_temp_tablespace:348	18874368	18874368
139.5	session_temp_tablespace:353	18874368	18874368
139.5	session_temp_tablespace:363	18874368	18874368
139.5	session_temp_tablespace:378	81920	81920
133.6	memory/temptable/physical_disk	0	0
133.6	memory/temptable/physical_ram	3145824	101712864
133.6	session_temp_tablespace:348	18874368	18874368
133.6	session_temp_tablespace:353	18874368	18874368
133.6	session_temp_tablespace:363	18874368	18874368
133.6	session_temp_tablespace:380	81920	81920
152.9	memory/temptable/physical_disk	0	0
152.9	memory/temptable/physical_ram	3145824	101712864
152.9	session_temp_tablespace:348	18874368	18874368
152.9	session_temp_tablespace:353	18874368	18874368
152.9	session_temp_tablespace:363	18874368	18874368
152.9	session_temp_tablespace:382	81920	81920
164.6	memory/temptable/physical_disk	0	0
164.6	memory/temptable/physical_ram	3145824	101712864
164.6	session_temp_tablespace:348	18874368	18874368
164.6	session_temp_tablespace:353	18874368	18874368
164.6	session_temp_tablespace:363	18874368	18874368
164.6	session_temp_tablespace:384	81920	81920
176.3	memory/temptable/physical_disk	0	0
176.3	memory/temptable/physical_ram	3145824	101712864
176.3	session_temp_tablespace:348	18874368	18874368
176.3	session_temp_tablespace:353	18874368	18874368
176.3	session_temp_tablespace:363	18874368	18874368
176.3	session_temp_tablespace:386	81920	81920
186.7	memory/temptable/physical_disk	0	0
186.7	memory/temptable/physical_ram	2097216	101712864
186.7	session_temp_tablespace:348	18874368	18874368
186.7	session_temp_tablespace:363	18874368	18874368
186.7	session_temp_tablespace:388	81920	81920
195.2	memory/temptable/physical_disk	0	0
195.2	memory/temptable/physical_ram	1048608	101712864
195.2	session_temp_tablespace:363	18874368	18874368
195.2	session_temp_tablespace:390	81920	81920
201.5	memory/temptable/physical_disk	0	0
201.5	memory/temptable/physical_ram	1048608	101712864
201.5	session_temp_tablespace:363	18874368	18874368
201.5	session_temp_tablespace:391	81920	81920
