table	shape	rows	data_length	est_bytes	topic_bytes	admit_s	src_done_s	sink_done_s	est_MiB_s	data_MiB_s	rows_s
b_lob_1	lob	1000	1605910528	2420970000	1573109760	1.2	14.1	33.0	72.60	48.16	31
b_narrow_1	narrow	8000000	635437056	972000000	315387904	49.1	80.4	176.3	7.29	4.76	62893
b_narrow_2	narrow	8000000	635437056	953155584	315342848	67.3	95.5	201.5	6.77	4.52	59613
b_narrow_3	narrow	8000000	635437056	972000000	315367424	49.0	80.4	186.7	6.73	4.40	58097
b_narrow_4	narrow	8000000	635437056	972000000	315457536	1.3	50.3	139.5	6.71	4.38	57887
b_wide_1	wide	600000	1642070016	2954700000	774467584	1.1	31.2	53.0	54.29	30.17	11561
b_wide_2	wide	600000	1642070016	2954700000	774463488	1.0	31.2	59.2	48.42	26.91	10309
b_wide_3	wide	600000	1642070016	2954700000	774467584	0.0	31.2	63.3	44.52	24.74	9479
