t	table	topic_end	pg_inserted
2.5	b_lob_1	101	0
2.5	b_narrow_1	0	0
2.5	b_narrow_2	0	0
2.5	b_narrow_3	0	0
2.5	b_narrow_4	229235	0
2.5	b_wide_1	32768	0
2.5	b_wide_2	33509	0
2.5	b_wide_3	33140	0
8.4	b_lob_1	708	205
8.4	b_narrow_1	0	0
8.4	b_narrow_2	0	0
8.4	b_narrow_3	0	0
8.4	b_narrow_4	1703131	197371
8.4	b_wide_1	168556	81302
8.4	b_wide_2	196468	72628
8.4	b_wide_3	204684	67467
14.1	b_lob_1	1000	282
14.1	b_narrow_1	0	0
14.1	b_narrow_2	0	0
14.1	b_narrow_3	0	0
14.1	b_narrow_4	2498159	262144
14.1	b_wide_1	261718	93113
14.1	b_wide_2	287649	86182
14.1	b_wide_3	303946	80469
21.5	b_lob_1	1000	643
21.5	b_narrow_1	0	0
21.5	b_narrow_2	0	0
21.5	b_narrow_3	0	0
21.5	b_narrow_4	4252131	512656
21.5	b_wide_1	466518	198951
21.5	b_wide_2	491390	190457
21.5	b_wide_3	515275	183531
25.5	b_lob_1	1000	785
25.5	b_narrow_1	0	0
25.5	b_narrow_2	0	0
25.5	b_narrow_3	0	0
25.5	b_narrow_4	4946685	608989
25.5	b_wide_1	549897	224767
25.5	b_wide_2	573440	215709
25.5	b_wide_3	589824	208841
31.2	b_lob_1	1000	996
31.2	b_narrow_1	0	0
31.2	b_narrow_2	0	0
31.2	b_narrow_3	0	0
31.2	b_narrow_4	6422528	874956
31.2	b_wide_1	600000	336174
31.2	b_wide_2	600000	327086
31.2	b_wide_3	600000	319982
50.3	b_lob_1	1000	1000
50.3	b_narrow_1	0	0
50.3	b_narrow_2	0	0
50.3	b_narrow_3	172873	0
50.3	b_narrow_4	8000000	1786896
50.3	b_wide_1	600000	579470
50.3	b_wide_2	600000	592775
50.3	b_wide_3	600000	588255
71.1	b_lob_1	1000	1000
71.1	b_narrow_1	6160384	1947621
71.1	b_narrow_2	1179648	125992
71.1	b_narrow_3	6377472	1941250
71.1	b_narrow_4	8000000	3757879
71.1	b_wide_1	600000	600000
71.1	b_wide_2	600000	600000
71.1	b_wide_3	600000	600000
77.6	b_lob_1	1000	1000
77.6	b_narrow_1	7733248	2464089
77.6	b_narrow_2	2761929	657077
77.6	b_narrow_3	7989036	2457185
77.6	b_narrow_4	8000000	4274844
77.6	b_wide_1	600000	600000
77.6	b_wide_2	600000	600000
77.6	b_wide_3	600000	600000
80.4	b_lob_1	1000	1000
80.4	b_narrow_1	8000000	2760632
80.4	b_narrow_2	3538944	859645
80.4	b_narrow_3	8000000	2756476
80.4	b_narrow_4	8000000	4567243
80.4	b_wide_1	600000	600000
80.4	b_wide_2	600000	600000
80.4	b_wide_3	600000	600000
83.6	b_lob_1	1000	1000
83.6	b_narrow_1	8000000	3023934
83.6	b_narrow_2	4563600	1127538
83.6	b_narrow_3	8000000	3014744
83.6	b_narrow_4	8000000	4825431
83.6	b_wide_1	600000	600000
83.6	b_wide_2	600000	600000
83.6	b_wide_3	600000	600000
89.2	b_lob_1	1000	1000
89.2	b_narrow_1	8000000	3575372
89.2	b_narrow_2	6301997	1724062
89.2	b_narrow_3	8000000	3561324
89.2	b_narrow_4	8000000	5372984
89.2	b_wide_1	600000	600000
89.2	b_wide_2	600000	600000
89.2	b_wide_3	600000	600000
92.3	b_lob_1	1000	1000
92.3	b_narrow_1	8000000	3892088
92.3	b_narrow_2	7340032	2038955
92.3	b_narrow_3	8000000	3872646
92.3	b_narrow_4	8000000	5683576
92.3	b_wide_1	600000	600000
92.3	b_wide_2	600000	600000
92.3	b_wide_3	600000	600000
95.5	b_lob_1	1000	1000
95.5	b_narrow_1	8000000	4113444
95.5	b_narrow_2	8000000	2266915
95.5	b_narrow_3	8000000	4094937
95.5	b_narrow_4	8000000	5905552
95.5	b_wide_1	600000	600000
95.5	b_wide_2	600000	600000
95.5	b_wide_3	600000	600000
102.5	b_lob_1	1000	1000
102.5	b_narrow_1	8000000	4516108
102.5	b_narrow_2	8000000	2667615
102.5	b_narrow_3	8000000	4497557
102.5	b_narrow_4	8000000	6306901
102.5	b_wide_1	600000	600000
102.5	b_wide_2	600000	600000
102.5	b_wide_3	600000	600000
109.7	b_lob_1	1000	1000
109.7	b_narrow_1	8000000	4741545
109.7	b_narrow_2	8000000	2914993
109.7	b_narrow_3	8000000	4719956
109.7	b_narrow_4	8000000	6527195
109.7	b_wide_1	600000	600000
109.7	b_wide_2	600000	600000
109.7	b_wide_3	600000	600000
115.8	b_lob_1	1000	1000
115.8	b_narrow_1	8000000	5402961
115.8	b_narrow_2	8000000	3485304
115.8	b_narrow_3	8000000	5382642
115.8	b_narrow_4	8000000	7187259
115.8	b_wide_1	600000	600000
115.8	b_wide_2	600000	600000
115.8	b_wide_3	600000	600000
119.4	b_lob_1	1000	1000
119.4	b_narrow_1	8000000	5676883
119.4	b_narrow_2	8000000	3850460
119.4	b_narrow_3	8000000	5655859
119.4	b_narrow_4	8000000	7461716
119.4	b_wide_1	600000	600000
119.4	b_wide_2	600000	600000
119.4	b_wide_3	600000	600000
123.2	b_lob_1	1000	1000
123.2	b_narrow_1	8000000	6023307
123.2	b_narrow_2	8000000	4196187
123.2	b_narrow_3	8000000	6000056
123.2	b_narrow_4	8000000	7803304
123.2	b_wide_1	600000	600000
123.2	b_wide_2	600000	600000
123.2	b_wide_3	600000	600000
133.6	b_lob_1	1000	1000
133.6	b_narrow_1	8000000	6422225
133.6	b_narrow_2	8000000	4566261
133.6	b_narrow_3	8000000	6406530
133.6	b_narrow_4	8000000	7981278
133.6	b_wide_1	600000	600000
133.6	b_wide_2	600000	600000
133.6	b_wide_3	600000	600000
152.9	b_lob_1	1000	1000
152.9	b_narrow_1	8000000	7021775
152.9	b_narrow_2	8000000	5177737
152.9	b_narrow_3	8000000	7032213
152.9	b_narrow_4	8000000	8000000
152.9	b_wide_1	600000	600000
152.9	b_wide_2	600000	600000
152.9	b_wide_3	600000	600000
158.7	b_lob_1	1000	1000
158.7	b_narrow_1	8000000	7574716
158.7	b_narrow_2	8000000	5730197
158.7	b_narrow_3	8000000	7573238
158.7	b_narrow_4	8000000	8000000
158.7	b_wide_1	600000	600000
158.7	b_wide_2	600000	600000
158.7	b_wide_3	600000	600000
164.6	b_lob_1	1000	1000
164.6	b_narrow_1	8000000	7780529
164.6	b_narrow_2	8000000	5963954
164.6	b_narrow_3	8000000	7778266
164.6	b_narrow_4	8000000	8000000
164.6	b_wide_1	600000	600000
164.6	b_wide_2	600000	600000
164.6	b_wide_3	600000	600000
173.9	b_lob_1	1000	1000
173.9	b_narrow_1	8000000	7989094
173.9	b_narrow_2	8000000	6277773
173.9	b_narrow_3	8000000	7984076
173.9	b_narrow_4	8000000	8000000
173.9	b_wide_1	600000	600000
173.9	b_wide_2	600000	600000
173.9	b_wide_3	600000	600000
195.2	b_lob_1	1000	1000
195.2	b_narrow_1	8000000	8000000
195.2	b_narrow_2	8000000	7873100
195.2	b_narrow_3	8000000	8000000
195.2	b_narrow_4	8000000	8000000
195.2	b_wide_1	600000	600000
195.2	b_wide_2	600000	600000
195.2	b_wide_3	600000	600000
200.1	b_lob_1	1000	1000
200.1	b_narrow_1	8000000	8000000
200.1	b_narrow_2	8000000	7873100
200.1	b_narrow_3	8000000	8000000
200.1	b_narrow_4	8000000	8000000
200.1	b_wide_1	600000	600000
200.1	b_wide_2	600000	600000
200.1	b_wide_3	600000	600000
