t	table	topic_end	pg_inserted
1.4	b_wide_1	0	0
3.4	b_wide_1	3841	0
5.6	b_wide_1	67033	50923
7.7	b_wide_1	167997	117151
9.8	b_wide_1	268186	225627
11.9	b_wide_1	371964	297163
13.9	b_wide_1	469574	363462
16.0	b_wide_1	584349	438291
18.0	b_wide_1	600000	501063
20.4	b_wide_1	600000	581098
24.4	b_wide_1	600000	581098
