table	admit_s	done_s	R_MiB
b_lob_1	1.1	44.8	511.0
b_narrow_1	1.4	147.1	416.4
b_narrow_2	1.5	153.5	416.4
b_narrow_3	1.3	160.1	416.4
b_narrow_4	1.2	163.5	416.4
b_wide_1	1.0	96.2	433.0
b_wide_2	0.9	75.6	433.0
b_wide_3	0.0	83.8	433.0
