t	component	rss_MiB
1.4	connect	1346
1.4	schema-registry	172
1.4	kafka	2039
1.4	mysql	369
1.4	postgres	255
11.4	connect	1414
11.4	schema-registry	173
11.4	kafka	2036
11.4	mysql	369
11.4	postgres	403
