table	shape	rows	data_length	est_bytes	topic_bytes	admit_s	src_done_s	sink_done_s	est_MiB_s	data_MiB_s	rows_s
b_lob_1	lob	1000	1605910528	2420970000	1573097472	1.1	12.5	44.8	52.83	35.05	23
b_narrow_1	narrow	8000000	635437056	972000000	315215872	1.4	68.7	147.1	6.36	4.16	54907
b_narrow_2	narrow	8000000	635437056	953155584	315203584	1.5	68.7	153.5	5.98	3.99	52632
b_narrow_3	narrow	8000000	635437056	972000000	315215872	1.3	68.7	160.1	5.84	3.82	50378
b_narrow_4	narrow	8000000	635437056	972000000	315203584	1.2	68.7	163.5	5.71	3.73	49291
b_wide_1	wide	600000	1642070016	2954700000	774488064	1.0	41.9	96.2	29.60	16.45	6303
b_wide_2	wide	600000	1642070016	2954700000	774492160	0.9	41.9	75.6	37.72	20.96	8032
b_wide_3	wide	600000	1642070016	2954700000	774451200	0.0	41.9	83.8	33.63	18.69	7160
