t	event	current_bytes	high_bytes
153.5	session_temp_tablespace:395	18874368	18874368
153.5	session_temp_tablespace:427	81920	81920
160.1	memory/temptable/physical_disk	0	0
160.1	memory/temptable/physical_ram	2097216	135792016
160.1	session_temp_tablespace:385	18874368	18874368
160.1	session_temp_tablespace:380	18874368	18874368
160.1	session_temp_tablespace:429	81920	81920
163.5	memory/temptable/physical_disk	0	0
163.5	memory/temptable/physical_ram	1048608	135792016
163.5	session_temp_tablespace:380	18874368	18874368
163.5	session_temp_tablespace:430	81920	81920
