2.8	local-env-connect-1	642.88%	6.32GiB / 15.6GiB
2.8	local-env-schema-registry-1	0.66%	160.5MiB / 15.6GiB
2.8	local-env-kafka-1	67.31%	1.753GiB / 15.6GiB
2.8	local-env-mysql-1	101.32%	433.7MiB / 15.6GiB
2.8	local-env-postgres-1	153.52%	233.7MiB / 15.6GiB
16.2	local-env-connect-1	566.71%	6.312GiB / 15.6GiB
16.2	local-env-schema-registry-1	0.50%	171.2MiB / 15.6GiB
16.2	local-env-kafka-1	64.70%	1.988GiB / 15.6GiB
16.2	local-env-mysql-1	73.93%	441.6MiB / 15.6GiB
16.2	local-env-postgres-1	186.25%	361.3MiB / 15.6GiB
32.4	local-env-connect-1	566.77%	5.854GiB / 15.6GiB
32.4	local-env-schema-registry-1	3.36%	148MiB / 15.6GiB
32.4	local-env-kafka-1	67.60%	2.047GiB / 15.6GiB
32.4	local-env-mysql-1	155.69%	637.6MiB / 15.6GiB
32.4	local-env-postgres-1	143.66%	278.1MiB / 15.6GiB
44.8	local-env-connect-1	494.72%	5.855GiB / 15.6GiB
44.8	local-env-schema-registry-1	0.41%	148.4MiB / 15.6GiB
44.8	local-env-kafka-1	127.07%	2.123GiB / 15.6GiB
44.8	local-env-mysql-1	69.99%	689.1MiB / 15.6GiB
44.8	local-env-postgres-1	212.29%	288.2MiB / 15.6GiB
58.2	projo-list-71715-web-1	3.25%	11.64MiB / 15.6GiB
58.2	projo-list-71715-api-1	2.15%	79.39MiB / 15.6GiB
58.2	local-env-connect-1	163.48%	5.876GiB / 15.6GiB
58.2	local-env-schema-registry-1	0.38%	151.4MiB / 15.6GiB
58.2	local-env-kafka-1	7.84%	2.153GiB / 15.6GiB
58.2	local-env-mysql-1	4.65%	398.1MiB / 15.6GiB
58.2	local-env-postgres-1	281.14%	704.9MiB / 15.6GiB
75.6	projo-list-71715-web-1	0.00%	11.05MiB / 15.6GiB
75.6	local-env-connect-1	131.59%	5.876GiB / 15.6GiB
75.6	local-env-schema-registry-1	0.31%	174.1MiB / 15.6GiB
75.6	local-env-kafka-1	2.46%	2.148GiB / 15.6GiB
75.6	local-env-mysql-1	3.94%	398.9MiB / 15.6GiB
75.6	local-env-postgres-1	182.46%	933MiB / 15.6GiB
83.8	local-env-connect-1	151.03%	5.877GiB / 15.6GiB
83.8	local-env-schema-registry-1	0.30%	164MiB / 15.6GiB
83.8	local-env-kafka-1	3.18%	2.166GiB / 15.6GiB
83.8	local-env-mysql-1	3.05%	399MiB / 15.6GiB
83.8	local-env-postgres-1	210.01%	1.329GiB / 15.6GiB
