t	table	topic_end	pg_inserted
1.4	b_wide_1	48842	0
5.1	b_wide_1	193911	63822
7.2	b_wide_1	278528	135864
9.3	b_wide_1	360448	209831
11.4	b_wide_1	447171	322858
15.1	b_wide_1	600000	430586
17.6	b_wide_1	600000	535247
20.1	b_wide_1	600000	570263
