t	component	rss_MiB
1.4	connect	1212
1.4	schema-registry	162
1.4	kafka	2020
1.4	mysql	345
1.4	postgres	254
12.2	connect	1266
12.2	schema-registry	164
12.2	kafka	2023
12.2	mysql	345
12.2	postgres	402
22.9	connect	1274
22.9	schema-registry	166
22.9	kafka	2024
22.9	mysql	346
22.9	postgres	403
33.3	connect	1284
33.3	schema-registry	167
33.3	kafka	2172
33.3	mysql	346
33.3	postgres	403
44.3	connect	1284
44.3	schema-registry	168
44.3	kafka	2173
44.3	mysql	346
44.3	postgres	403
55.5	connect	1285
55.5	schema-registry	169
55.5	kafka	2024
55.5	mysql	346
55.5	postgres	403
