t	table	topic_end	pg_inserted
141.4	b_narrow_1	8000000	7464425
141.4	b_narrow_2	8000000	7462547
141.4	b_narrow_3	8000000	7451481
141.4	b_narrow_4	8000000	7458404
141.4	b_wide_1	600000	600000
141.4	b_wide_2	600000	600000
141.4	b_wide_3	600000	600000
147.7	b_lob_1	1000	1000
147.7	b_narrow_1	8000000	7935113
147.7	b_narrow_2	8000000	7881610
147.7	b_narrow_3	8000000	7920047
147.7	b_narrow_4	8000000	7926095
147.7	b_wide_1	600000	600000
147.7	b_wide_2	600000	600000
147.7	b_wide_3	600000	600000
161.8	b_lob_1	1000	1000
161.8	b_narrow_1	8000000	8000000
161.8	b_narrow_2	8000000	8000000
161.8	b_narrow_3	8000000	8000000
161.8	b_narrow_4	8000000	8000000
161.8	b_wide_1	600000	600000
161.8	b_wide_2	600000	600000
161.8	b_wide_3	600000	600000
