141.4	local-env-mysql-1	1.48%	437.2MiB / 15.6GiB
141.4	local-env-postgres-1	62.78%	2.386GiB / 15.6GiB
149.6	local-env-connect-1	5.02%	1.454GiB / 15.6GiB
149.6	local-env-schema-registry-1	0.45%	161.7MiB / 15.6GiB
149.6	local-env-kafka-1	2.78%	2.106GiB / 15.6GiB
149.6	local-env-mysql-1	4.40%	436.9MiB / 15.6GiB
149.6	local-env-postgres-1	13.40%	2.743GiB / 15.6GiB
155.4	local-env-connect-1	3.69%	1.453GiB / 15.6GiB
155.4	local-env-schema-registry-1	0.63%	161.4MiB / 15.6GiB
155.4	local-env-kafka-1	2.74%	2.108GiB / 15.6GiB
155.4	local-env-mysql-1	3.19%	441.1MiB / 15.6GiB
155.4	local-env-postgres-1	11.80%	2.879GiB / 15.6GiB
163.1	local-env-connect-1	2.01%	1.453GiB / 15.6GiB
163.1	local-env-schema-registry-1	0.57%	161.8MiB / 15.6GiB
163.1	local-env-kafka-1	3.01%	2.106GiB / 15.6GiB
163.1	local-env-mysql-1	3.03%	440.9MiB / 15.6GiB
163.1	local-env-postgres-1	17.40%	3.138GiB / 15.6GiB
170.5	local-env-connect-1	1.83%	1.452GiB / 15.6GiB
170.5	local-env-schema-registry-1	2.18%	161.8MiB / 15.6GiB
170.5	local-env-kafka-1	2.04%	2.114GiB / 15.6GiB
170.5	local-env-mysql-1	2.13%	441MiB / 15.6GiB
170.5	local-env-postgres-1	11.77%	3.453GiB / 15.6GiB
161.8	local-env-connect-1	0.70%	1.453GiB / 15.6GiB
161.8	local-env-schema-registry-1	0.39%	161.9MiB / 15.6GiB
161.8	local-env-kafka-1	1.74%	2.114GiB / 15.6GiB
161.8	local-env-mysql-1	0.64%	440.7MiB / 15.6GiB
161.8	local-env-postgres-1	13.89%	3.021GiB / 15.6GiB
