t	table	topic_end	pg_inserted
1.4	b_wide_1	49152	0
6.0	b_wide_1	235830	106365
8.1	b_wide_1	324788	183667
10.1	b_wide_1	409600	260749
12.3	b_wide_1	496680	335618
16.3	b_wide_1	600000	483781
18.8	b_wide_1	600000	581560
21.2	b_wide_1	600000	581560
