t	event	current_bytes	high_bytes
141.4	session_temp_tablespace:801	18874368	18874368
141.4	session_temp_tablespace:836	81920	81920
149.6	memory/temptable/physical_disk	0	0
149.6	memory/temptable/physical_ram	4194432	135792016
149.6	session_temp_tablespace:796	18874368	18874368
149.6	session_temp_tablespace:791	18874368	18874368
149.6	session_temp_tablespace:806	18874368	18874368
149.6	session_temp_tablespace:801	18874368	18874368
149.6	session_temp_tablespace:837	81920	81920
155.4	memory/temptable/physical_disk	0	0
155.4	memory/temptable/physical_ram	3145824	135792016
155.4	session_temp_tablespace:791	18874368	18874368
155.4	session_temp_tablespace:806	18874368	18874368
155.4	session_temp_tablespace:801	18874368	18874368
155.4	session_temp_tablespace:839	81920	81920
163.1	memory/temptable/physical_disk	0	0
163.1	memory/temptable/physical_ram	2097216	135792016
163.1	session_temp_tablespace:806	18874368	18874368
163.1	session_temp_tablespace:801	18874368	18874368
163.1	session_temp_tablespace:841	81920	81920
170.5	memory/temptable/physical_disk	0	0
170.5	memory/temptable/physical_ram	1048608	135792016
170.5	session_temp_tablespace:806	18874368	18874368
170.5	session_temp_tablespace:843	81920	81920
161.8	memory/temptable/physical_disk	0	0
161.8	memory/temptable/physical_ram	0	135792016
161.8	session_temp_tablespace:844	81920	81920
