table	admit_s	done_s	R_MiB
b_lob_1	0.8	54.9	511.0
b_narrow_1	1.2	163.1	416.4
b_narrow_2	1.3	170.5	416.4
b_narrow_3	1.1	149.6	416.4
b_narrow_4	0.9	155.4	416.4
b_wide_1	0.7	81.6	433.0
b_wide_2	0.6	90.2	433.0
b_wide_3	0.0	95.7	433.0
