t	component	rss_MiB
1.4	connect	1307
1.4	schema-registry	185
1.4	kafka	2071
1.4	mysql	413
1.4	postgres	279
12.5	connect	1395
12.5	schema-registry	187
12.5	kafka	2069
12.5	mysql	413
12.5	postgres	428
