table	shape	rows	data_length	est_bytes	topic_bytes	admit_s	src_done_s	sink_done_s	est_MiB_s	data_MiB_s	rows_s
b_lob_1	lob	1000	1605910528	2420970000	1573101568	0.8	15.5	46.1	50.97	33.81	22
b_narrow_1	narrow	8000000	635437056	972000000	315379712	1.1	58.6	149.2	6.26	4.09	54018
b_narrow_2	narrow	8000000	635437056	953155584	315396096	1.2	58.6	157.2	5.83	3.88	51282
b_narrow_3	narrow	8000000	635437056	972000000	315400192	1.0	58.6	162.6	5.74	3.75	49505
b_narrow_4	narrow	8000000	635437056	972000000	315326464	0.9	58.6	167.1	5.58	3.65	48135
b_wide_1	wide	600000	1642070016	2954700000	774475776	0.7	43.9	74.3	38.29	21.28	8152
b_wide_2	wide	600000	1642070016	2954700000	774483968	0.6	43.9	80.9	35.09	19.50	7472
b_wide_3	wide	600000	1642070016	2954700000	774447104	0.0	43.9	87.7	32.13	17.86	6842
