table	admit_s	done_s	R_MiB
b_lob_1	0.8	46.1	511.0
b_narrow_1	1.1	149.2	416.4
b_narrow_2	1.2	157.2	416.4
b_narrow_3	1.0	162.6	416.4
b_narrow_4	0.9	167.1	416.4
b_wide_1	0.7	74.3	433.0
b_wide_2	0.6	80.9	433.0
b_wide_3	0.0	87.7	433.0
