t	event	current_bytes	high_bytes
149.2	memory/temptable/physical_ram	4194432	135792016
149.2	session_temp_tablespace:587	18874368	18874368
149.2	session_temp_tablespace:577	18874368	18874368
149.2	session_temp_tablespace:592	18874368	18874368
149.2	session_temp_tablespace:582	18874368	18874368
149.2	session_temp_tablespace:624	81920	81920
157.2	memory/temptable/physical_disk	0	0
157.2	memory/temptable/physical_ram	3145824	135792016
157.2	session_temp_tablespace:577	18874368	18874368
157.2	session_temp_tablespace:592	18874368	18874368
157.2	session_temp_tablespace:582	18874368	18874368
157.2	session_temp_tablespace:626	81920	81920
162.6	memory/temptable/physical_disk	0	0
162.6	memory/temptable/physical_ram	2097216	135792016
162.6	session_temp_tablespace:577	18874368	18874368
162.6	session_temp_tablespace:582	18874368	18874368
162.6	session_temp_tablespace:628	81920	81920
167.1	memory/temptable/physical_disk	0	0
167.1	memory/temptable/physical_ram	1048608	135792016
167.1	session_temp_tablespace:577	18874368	18874368
167.1	session_temp_tablespace:629	81920	81920
