table	admit_s	done_s	R_MiB
b_lob_1	0.7	48.2	511.0
b_narrow_1	1.2	140.0	416.4
b_narrow_2	1.5	146.5	416.4
b_narrow_3	1.0	153.0	416.4
b_narrow_4	0.9	157.3	416.4
b_wide_1	0.6	73.2	433.0
b_wide_2	0.5	78.7	433.0
b_wide_3	0.0	84.3	433.0
