table	shape	rows	data_length	est_bytes	topic_bytes	admit_s	src_done_s	sink_done_s	est_MiB_s	data_MiB_s	rows_s
b_lob_1	lob	1000	1605910528	2420970000	1573101568	0.7	20.1	48.2	48.61	32.24	21
b_narrow_1	narrow	8000000	635437056	972000000	315252736	1.2	56.8	140.0	6.68	4.37	57637
b_narrow_2	narrow	8000000	635437056	953155584	315232256	1.5	56.8	146.5	6.27	4.18	55172
b_narrow_3	narrow	8000000	635437056	972000000	315248640	1.0	56.8	153.0	6.10	3.99	52632
b_narrow_4	narrow	8000000	635437056	972000000	315281408	0.9	56.8	157.3	5.93	3.87	51151
b_wide_1	wide	600000	1642070016	2954700000	774430720	0.6	37.5	73.2	38.81	21.57	8264
b_wide_2	wide	600000	1642070016	2954700000	774475776	0.5	37.5	78.7	36.03	20.03	7673
b_wide_3	wide	600000	1642070016	2954700000	774483968	0.0	37.5	84.3	33.43	18.58	7117
