t	component	rss_MiB
1.4	connect	1306
1.4	schema-registry	306
1.4	kafka	1768
1.4	mysql	578
1.4	postgres	213
12.7	connect	1378
12.7	schema-registry	307
12.7	kafka	2023
12.7	mysql	578
12.7	postgres	385
