t	table	topic_end	pg_inserted
1.4	b_narrow_1	393216	0
5.6	b_narrow_1	1703936	352908
7.7	b_narrow_1	2392556	605311
9.8	b_narrow_1	3110252	858170
11.9	b_narrow_1	3780631	1080364
16.7	b_narrow_1	5285489	1716080
18.8	b_narrow_1	6029312	1983791
20.8	b_narrow_1	6684672	2250979
22.9	b_narrow_1	7396288	2507896
27.7	b_narrow_1	8000000	3190657
29.9	b_narrow_1	8000000	3481082
32.2	b_narrow_1	8000000	3759820
34.5	b_narrow_1	8000000	4185660
39.3	b_narrow_1	8000000	4767495
41.5	b_narrow_1	8000000	5197245
43.8	b_narrow_1	8000000	5475989
46.1	b_narrow_1	8000000	5769548
50.9	b_narrow_1	8000000	6478510
53.2	b_narrow_1	8000000	6765106
55.6	b_narrow_1	8000000	7192463
57.9	b_narrow_1	8000000	7460120
62.9	b_narrow_1	8000000	7877011
