t	event	current_bytes	high_bytes
2.9	memory/temptable/physical_disk	0	0
2.9	memory/temptable/physical_ram	11534656	135792016
2.9	session_temp_tablespace:166	54525952	54525952
2.9	session_temp_tablespace:171	54525952	54525952
2.9	session_temp_tablespace:176	54525952	54525952
2.9	session_temp_tablespace:181	54525952	54525952
2.9	session_temp_tablespace:186	18874368	18874368
2.9	session_temp_tablespace:191	18874368	18874368
2.9	session_temp_tablespace:196	18874368	18874368
2.9	session_temp_tablespace:201	18874368	18874368
2.9	session_temp_tablespace:204	81920	81920
13.4	memory/temptable/physical_disk	0	0
13.4	memory/temptable/physical_ram	8388864	135792016
13.4	session_temp_tablespace:166	54525952	54525952
13.4	session_temp_tablespace:171	54525952	54525952
13.4	session_temp_tablespace:176	54525952	54525952
13.4	session_temp_tablespace:181	54525952	54525952
13.4	session_temp_tablespace:186	18874368	18874368
13.4	session_temp_tablespace:191	18874368	18874368
13.4	session_temp_tablespace:196	18874368	18874368
13.4	session_temp_tablespace:201	18874368	18874368
13.4	session_temp_tablespace:206	81920	81920
23.8	memory/temptable/physical_disk	0	0
23.8	memory/temptable/physical_ram	8388864	135792016
23.8	session_temp_tablespace:166	54525952	54525952
23.8	session_temp_tablespace:171	54525952	54525952
23.8	session_temp_tablespace:176	54525952	54525952
23.8	session_temp_tablespace:181	54525952	54525952
23.8	session_temp_tablespace:186	18874368	18874368
23.8	session_temp_tablespace:191	18874368	18874368
23.8	session_temp_tablespace:196	18874368	18874368
23.8	session_temp_tablespace:201	18874368	18874368
23.8	session_temp_tablespace:208	81920	81920
37.5	memory/temptable/physical_disk	0	0
37.5	memory/temptable/physical_ram	8388864	135792016
37.5	session_temp_tablespace:166	54525952	54525952
37.5	session_temp_tablespace:171	54525952	54525952
37.5	session_temp_tablespace:176	54525952	54525952
37.5	session_temp_tablespace:181	54525952	54525952
37.5	session_temp_tablespace:186	18874368	18874368
37.5	session_temp_tablespace:191	18874368	18874368
37.5	session_temp_tablespace:196	18874368	18874368
37.5	session_temp_tablespace:201	18874368	18874368
37.5	session_temp_tablespace:211	81920	81920
48.2	memory/temptable/physical_disk	0	0
48.2	memory/temptable/physical_ram	24117632	135792016
48.2	session_temp_tablespace:166	54525952	54525952
48.2	session_temp_tablespace:171	54525952	54525952
48.2	session_temp_tablespace:176	54525952	54525952
48.2	session_temp_tablespace:181	54525952	54525952
48.2	session_temp_tablespace:186	18874368	18874368
48.2	session_temp_tablespace:191	18874368	18874368
48.2	session_temp_tablespace:196	18874368	18874368
48.2	session_temp_tablespace:201	18874368	18874368
48.2	session_temp_tablespace:212	81920	81920
56.8	memory/temptable/physical_disk	0	0
56.8	memory/temptable/physical_ram	7340256	135792016
56.8	session_temp_tablespace:166	54525952	54525952
56.8	session_temp_tablespace:171	54525952	54525952
