t	table	topic_end	pg_inserted
56.8	b_narrow_2	8000000	1315740
56.8	b_narrow_3	8000000	1309099
56.8	b_narrow_4	8000000	1320365
56.8	b_wide_1	600000	482407
56.8	b_wide_2	600000	493813
56.8	b_wide_3	600000	479473
70.0	b_lob_1	1000	1000
70.0	b_narrow_1	8000000	1699840
70.0	b_narrow_2	8000000	1702107
70.0	b_narrow_3	8000000	1689890
70.0	b_narrow_4	8000000	1705939
70.0	b_wide_1	600000	582802
70.0	b_wide_2	600000	597424
70.0	b_wide_3	600000	579924
93.1	b_lob_1	1000	1000
93.1	b_narrow_1	8000000	3683680
93.1	b_narrow_2	8000000	3706176
93.1	b_narrow_3	8000000	3695143
93.1	b_narrow_4	8000000	3711117
93.1	b_wide_1	600000	600000
93.1	b_wide_2	600000	600000
93.1	b_wide_3	600000	600000
99.3	b_lob_1	1000	1000
99.3	b_narrow_1	8000000	4239096
99.3	b_narrow_2	8000000	4275644
99.3	b_narrow_3	8000000	4257959
99.3	b_narrow_4	8000000	4263990
99.3	b_wide_1	600000	600000
99.3	b_wide_2	600000	600000
99.3	b_wide_3	600000	600000
102.4	b_lob_1	1000	1000
102.4	b_narrow_1	8000000	4657708
102.4	b_narrow_2	8000000	4700016
102.4	b_narrow_3	8000000	4595804
102.4	b_narrow_4	8000000	4680050
102.4	b_wide_1	600000	600000
102.4	b_wide_2	600000	600000
102.4	b_wide_3	600000	600000
105.5	b_lob_1	1000	1000
105.5	b_narrow_1	8000000	4978088
105.5	b_narrow_2	8000000	5024144
105.5	b_narrow_3	8000000	4997880
105.5	b_narrow_4	8000000	5000570
105.5	b_wide_1	600000	600000
105.5	b_wide_2	600000	600000
105.5	b_wide_3	600000	600000
110.7	b_lob_1	1000	1000
110.7	b_narrow_1	8000000	5526216
110.7	b_narrow_2	8000000	5577478
110.7	b_narrow_3	8000000	5547524
110.7	b_narrow_4	8000000	5551835
110.7	b_wide_1	600000	600000
110.7	b_wide_2	600000	600000
110.7	b_wide_3	600000	600000
113.9	b_lob_1	1000	1000
113.9	b_narrow_1	8000000	5825395
113.9	b_narrow_2	8000000	5877602
113.9	b_narrow_3	8000000	5843885
113.9	b_narrow_4	8000000	5850094
113.9	b_wide_1	600000	600000
113.9	b_wide_2	600000	600000
113.9	b_wide_3	600000	600000
117.1	b_lob_1	1000	1000
117.1	b_narrow_1	8000000	6147866
117.1	b_narrow_2	8000000	6202384
117.1	b_narrow_3	8000000	6163844
117.1	b_narrow_4	8000000	6168865
117.1	b_wide_1	600000	600000
117.1	b_wide_2	600000	600000
117.1	b_wide_3	600000	600000
123.3	b_lob_1	1000	1000
123.3	b_narrow_1	8000000	6738942
123.3	b_narrow_2	8000000	6802522
123.3	b_narrow_3	8000000	6764537
123.3	b_narrow_4	8000000	6764316
123.3	b_wide_1	600000	600000
123.3	b_wide_2	600000	600000
123.3	b_wide_3	600000	600000
127.0	b_lob_1	1000	1000
127.0	b_narrow_1	8000000	7085380
127.0	b_narrow_2	8000000	7148302
127.0	b_narrow_3	8000000	7110926
127.0	b_narrow_4	8000000	7106404
127.0	b_wide_1	600000	600000
127.0	b_wide_2	600000	600000
127.0	b_wide_3	600000	600000
131.6	b_lob_1	1000	1000
131.6	b_narrow_1	8000000	7476040
131.6	b_narrow_2	8000000	7539795
131.6	b_narrow_3	8000000	7503628
131.6	b_narrow_4	8000000	7496073
131.6	b_wide_1	600000	600000
131.6	b_wide_2	600000	600000
131.6	b_wide_3	600000	600000
138.6	b_lob_1	1000	1000
138.6	b_narrow_1	8000000	7889296
138.6	b_narrow_2	8000000	7956990
138.6	b_narrow_3	8000000	7919019
138.6	b_narrow_4	8000000	7911418
138.6	b_wide_1	600000	600000
138.6	b_wide_2	600000	600000
138.6	b_wide_3	600000	600000
