t	table	topic_end	pg_inserted
2.9	b_lob_1	159	0
2.9	b_narrow_1	262144	0
2.9	b_narrow_2	261759	0
2.9	b_narrow_3	293672	0
2.9	b_narrow_4	289519	0
2.9	b_wide_1	53994	0
2.9	b_wide_2	46071	0
2.9	b_wide_3	49152	0
9.6	b_lob_1	505	160
9.6	b_narrow_1	984663	95883
9.6	b_narrow_2	934428	89921
9.6	b_narrow_3	928768	89804
9.6	b_narrow_4	991560	86714
9.6	b_wide_1	140575	33048
9.6	b_wide_2	130065	33640
9.6	b_wide_3	127276	33142
13.4	b_lob_1	711	266
13.4	b_narrow_1	1408969	160020
13.4	b_narrow_2	1271561	155485
13.4	b_narrow_3	1330959	156077
13.4	b_narrow_4	1378889	145609
13.4	b_wide_1	182175	50056
13.4	b_wide_2	166681	55272
13.4	b_wide_3	172233	50397
20.1	b_lob_1	1000	341
20.1	b_narrow_1	2397238	241516
20.1	b_narrow_2	2223241	240778
20.1	b_narrow_3	2359296	238595
20.1	b_narrow_4	2359296	229043
20.1	b_wide_1	311296	74278
20.1	b_wide_2	292600	81532
20.1	b_wide_3	277698	74762
23.8	b_lob_1	1000	436
23.8	b_narrow_1	3007271	317813
23.8	b_narrow_2	2752512	325039
23.8	b_narrow_3	2988468	318656
23.8	b_narrow_4	2901718	309862
23.8	b_wide_1	369536	97550
23.8	b_wide_2	351295	111017
23.8	b_wide_3	327665	95396
30.1	b_lob_1	1000	630
30.1	b_narrow_1	3960297	440446
30.1	b_narrow_2	3620056	446351
30.1	b_narrow_3	3900105	434364
30.1	b_narrow_4	3729937	433997
30.1	b_wide_1	483795	148321
30.1	b_wide_2	466507	164595
30.1	b_wide_3	454829	145140
33.6	b_lob_1	1000	760
33.6	b_narrow_1	4601856	513544
33.6	b_narrow_2	4253843	520811
33.6	b_narrow_3	4571176	507482
33.6	b_narrow_4	4374597	511464
33.6	b_wide_1	557056	180231
33.6	b_wide_2	540672	189833
33.6	b_wide_3	540672	174067
37.5	b_lob_1	1000	859
37.5	b_narrow_1	5222885	565153
37.5	b_narrow_2	4833488	569490
37.5	b_narrow_3	5094582	562847
37.5	b_narrow_4	4930458	563312
37.5	b_wide_1	600000	203912
37.5	b_wide_2	600000	214887
37.5	b_wide_3	600000	198059
46.0	b_lob_1	1000	965
46.0	b_narrow_1	7077888	778474
46.0	b_narrow_2	6720627	780773
46.0	b_narrow_3	6946816	780400
46.0	b_narrow_4	6684672	785107
46.0	b_wide_1	600000	291072
46.0	b_wide_2	600000	298167
46.0	b_wide_3	600000	284395
56.8	b_lob_1	1000	1000
56.8	b_narrow_1	8000000	1314975
