t	component	rss_MiB
1.4	connect	1272
1.4	schema-registry	297
1.4	kafka	1397
1.4	mysql	573
1.4	postgres	121
11.9	connect	1338
11.9	schema-registry	297
11.9	kafka	1467
11.9	mysql	573
11.9	postgres	276
22.9	connect	1341
22.9	schema-registry	297
22.9	kafka	1824
22.9	mysql	573
22.9	postgres	317
34.5	connect	1346
34.5	schema-registry	306
34.5	kafka	1903
34.5	mysql	573
34.5	postgres	347
46.1	connect	1346
46.1	schema-registry	306
46.1	kafka	1766
46.1	mysql	574
46.1	postgres	355
57.9	connect	1346
57.9	schema-registry	306
57.9	kafka	1763
57.9	mysql	574
57.9	postgres	380
