t	table	topic_end	pg_inserted
1.4	b_wide_1	53392	0
6.1	b_wide_1	245291	98804
8.3	b_wide_1	327680	207883
10.5	b_wide_1	416074	272223
12.7	b_wide_1	499076	335289
17.4	b_wide_1	600000	487470
19.8	b_wide_1	600000	593687
