140.0	local-env-postgres-1	10.39%	263.4MiB / 15.6GiB
146.5	local-env-connect-1	4.82%	5.501GiB / 15.6GiB
146.5	local-env-schema-registry-1	0.61%	156.9MiB / 15.6GiB
146.5	local-env-kafka-1	2.14%	2.016GiB / 15.6GiB
146.5	local-env-mysql-1	2.30%	366MiB / 15.6GiB
146.5	local-env-postgres-1	9.04%	263.4MiB / 15.6GiB
153.0	local-env-connect-1	2.14%	5.5GiB / 15.6GiB
153.0	local-env-schema-registry-1	0.87%	158.6MiB / 15.6GiB
153.0	local-env-kafka-1	2.72%	2.032GiB / 15.6GiB
153.0	local-env-mysql-1	2.49%	366.6MiB / 15.6GiB
153.0	local-env-postgres-1	31.38%	265.5MiB / 15.6GiB
157.3	local-env-connect-1	1.60%	5.5GiB / 15.6GiB
157.3	local-env-schema-registry-1	0.49%	158.7MiB / 15.6GiB
157.3	local-env-kafka-1	2.42%	2.032GiB / 15.6GiB
157.3	local-env-mysql-1	1.70%	366.7MiB / 15.6GiB
157.3	local-env-postgres-1	9.10%	268.8MiB / 15.6GiB
